MISPAR_RECHEV,SUG_RECALL,SUG_TAKALA,TEUR_TAKALA,TAARICH_PTICHA
01003037,תקלה סידרתית בטיחותית,אחר,חשש שלא תתבצע העברת המערכת ההיברידית למצב בטוח כנדרש על ידי התוכנה האחראית על העברה זו,2020-10-27
01055157,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01055957,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01060367,תקלה סידרתית בטיחותית,מערכת העברת כוח,עצמת הידוק בורג עליון של מוט ההגה,2011-08-18
01066657,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01072557,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01072857,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01073457,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01085157,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01097057,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01097157,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01121527,תקלה סידרתית בטיחותית,מערכת הבטיחות,חדירת מים ליחידת בקרה של כריות אוויר,2011-08-09
01123127,תקלה סידרתית בטיחותית,בלמים,בדיקת חלודה על צינור בלם,2013-03-11
01126337,תקלה סידרתית בטיחותית,מערכת הדלק,"קיים חשש להתפתחות של סדק בתושבת צינור האוורור של מיכל הדלק, אשר עלול להוביל לדליפת דלק.",2024-01-29
01158537,תקלה סידרתית בטיחותית,מערכת הדלק,"קיים חשש להתפתחות של סדק בתושבת צינור האוורור של מיכל הדלק, אשר עלול להוביל לדליפת דלק.",2024-01-29
01165237,תקלה סידרתית בטיחותית,אחר,חשש שלא תתבצע העברת המערכת ההיברידית למצב בטוח כנדרש על ידי התוכנה האחראית על העברה זו,2020-10-27
01165467,תקלה סידרתית בטיחותית,אביזרים,מתקן הרמה ותמיכה גלגל חילופי,2011-08-09
01218827,תקלה סידרתית בטיחותית,מערכת הבטיחות,חדירת מים ליחידת בקרה של כריות אוויר,2011-08-09
01237727,תקלה סידרתית בטיחותית,מערכת הבטיחות,חדירת מים ליחידת בקרה של כריות אוויר,2011-08-09
01255537,תקלה סידרתית בטיחותית,אחר,חשש להיווצרות סדק בתושבת מזרק נוזל האוריאה (חומר המיועד להפחית את זיהום האוויר בפליטה).,2017-04-27
01337437,תקלה סידרתית בטיחותית,אחר,חשש שלא תתבצע העברת המערכת ההיברידית למצב בטוח כנדרש על ידי התוכנה האחראית על העברה זו,2020-10-27
01363537,תקלה סידרתית בטיחותית,אחר,חשש שלא תתבצע העברת המערכת ההיברידית למצב בטוח כנדרש על ידי התוכנה האחראית על העברה זו,2020-10-27
01377467,קמפיין שרות טכני,מערכת העברת כוח,תיבת הילוכים,2011-01-09
01381637,תקלה סידרתית בטיחותית,חגורות בטיחות,עקב החשש כי לחות שחדרה לתוך יחידת הניפוח תפגום בפעולתה בעת הצורך במקרה תאונה,2019-01-24
01405517,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01408237,תקלה סידרתית בטיחותית,מערכת הדלק,"קיים חשש להתפתחות של סדק בתושבת צינור האוורור של מיכל הדלק, אשר עלול להוביל לדליפת דלק.",2024-01-29
01478457,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01497037,תקלה סידרתית בטיחותית,אחר,חשש שלא תתבצע העברת המערכת ההיברידית למצב בטוח כנדרש על ידי התוכנה האחראית על העברה זו,2020-10-27
01500017,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01545287,תקלה סידרתית בטיחותית,מרכב ושילדה,כשל אפשרי במנעולי הדלתות.,2024-04-15
01547757,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01550957,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01551857,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01551927,תקלה סידרתית בטיחותית,מערכת הבטיחות,חדירת מים ליחידת בקרה של כריות אוויר,2011-08-09
01552057,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01566617,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01592557,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01592657,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01593357,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01593457,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01593557,תקלה סידרתית בטיחותית,מנוע ומערכותיו,סדק בגומיית אטימה של משאבת דלק,2011-12-25
01605517,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01625017,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01635017,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01675517,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01692137,תקלה סידרתית בטיחותית,חגורות בטיחות,עקב החשש כי לחות שחדרה לתוך יחידת הניפוח תפגום בפעולתה בעת הצורך במקרה תאונה,2019-01-24
01695017,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01700417,תקלה סידרתית בטיחותית,כריות אוויר,יחידת הניפוח בצד הנהג עלולה לפזר חלקיקי מתכת בזמן פתיחה,2020-11-08
01711267,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של מנגנון הניפוח של כרית האוויר הקדמית בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותי,2023-06-25
01711467,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים בטמפרטורה ולחות אוויר גבוהה. במקרה של תא,2023-12-05
01711567,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים בטמפרטורה ולחות אוויר גבוהה. במקרה של תא,2023-12-05
01712367,תקלה סידרתית בטיחותית,כריות אוויר,חומר ההנעה של כרית האוויר בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת  לשינויים בטמפרטורה ולחות אוויר גבוהה. כתוצאה מכ,2024-08-19
01714967,תקלה סידרתית בטיחותית,מערכת יציבות,קיימת אפשרות שכתוצאה מעומס תרמו-מכני חריג ביחידת הבקרה עשויה להשפיע על ההארקה דבר שעשוי להשליך על אספקת מתח ליחידת הבקרה,2017-07-17
01715567,תקלה סידרתית בטיחותית,כריות אוויר,חומר ההנעה של כרית האוויר בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת  לשינויים בטמפרטורה ולחות אוויר גבוהה. כתוצאה מכ,2024-08-19
01716067,תקלה סידרתית בטיחותית,מערכת יציבות,קיימת אפשרות שכתוצאה מעומס תרמו-מכני חריג ביחידת הבקרה עשויה להשפיע על ההארקה דבר שעשוי להשליך על אספקת מתח ליחידת הבקרה,2017-07-17
01716367,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים בטמפרטורה ולחות אוויר גבוהה. במקרה של תא,2023-12-05
01717867,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים בטמפרטורה ולחות אוויר גבוהה. במקרה של תא,2023-12-05
01718867,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר הקדמית בצד נהג יאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותיים בטמפרטורה ולחות אווי,2022-08-29
01719767,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של מנגנון הניפוח של כרית האוויר הקדמית בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותי,2023-06-25
01720867,תקלה סידרתית בטיחותית,מערכת יציבות,קיימת אפשרות שכתוצאה מעומס תרמו-מכני חריג ביחידת הבקרה עשויה להשפיע על ההארקה דבר שעשוי להשליך על אספקת מתח ליחידת הבקרה,2017-07-17
01721767,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים בטמפרטורה ולחות אוויר גבוהה. במקרה של תא,2023-12-05
01721867,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של מנגנון הניפוח של כרית האוויר הקדמית בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותי,2023-06-25
01722067,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של מנגנון הניפוח של כרית האוויר הקדמית בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותי,2023-06-25
01722167,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של מנגנון הניפוח של כרית האוויר הקדמית בצד הנהג עלול לאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותי,2023-06-25
01723967,תקלה סידרתית בטיחותית,מערכת יציבות,קיימת אפשרות שכתוצאה מעומס תרמו-מכני חריג ביחידת הבקרה עשויה להשפיע על ההארקה דבר שעשוי להשליך על אספקת מתח ליחידת הבקרה,2017-07-17
01724267,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר הקדמית בצד נהג יאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותיים בטמפרטורה ולחות אווי,2022-08-29
01726267,תקלה סידרתית בטיחותית,מערכת יציבות,קיימת אפשרות שכתוצאה מעומס תרמו-מכני חריג ביחידת הבקרה עשויה להשפיע על ההארקה דבר שעשוי להשליך על אספקת מתח ליחידת הבקרה,2017-07-17
01727267,תקלה סידרתית בטיחותית,כריות אוויר,יתכן כי חומר ההנעה של כרית האוויר הקדמית בצד נהג יאבד מתכונותיו בשל חשיפה ממושכת לשינויים משמעותיים בטמפרטורה ולחות אווי,2022-08-29
01727467,תקלה סידרתית בטיחותית,מערכת יציבות,קיימת אפשרות שכתוצאה מעומס תרמו-מכני חריג ביחידת הבקרה עשויה להשפיע על ההארקה דבר שעשוי להשליך על אספקת מתח ליחידת הבקרה,2017-07-17
